Epoch: 133	Train_Loss: 143.0760040283203	 Test_Loss: 142.13668823242188
Epoch: 134	Train_Loss: 142.22312927246094	 Test_Loss: 146.64552307128906
Epoch: 135	Train_Loss: 142.17593383789062	 Test_Loss: 139.23548889160156
Epoch: 136	Train_Loss: 141.12367248535156	 Test_Loss: 139.27928161621094
Epoch: 137	Train_Loss: 141.4294891357422	 Test_Loss: 140.36917114257812
Epoch: 138	Train_Loss: 141.42715454101562	 Test_Loss: 138.2788543701172
Epoch: 139	Train_Loss: 140.2221221923828	 Test_Loss: 139.73609924316406
Epoch: 140	Train_Loss: 140.8636016845703	 Test_Loss: 139.9739990234375
Epoch: 141	Train_Loss: 140.65802001953125	 Test_Loss: 141.57565307617188
Epoch: 142	Train_Loss: 141.19798278808594	 Test_Loss: 142.7693328857422
Epoch: 143	Train_Loss: 141.11244201660156	 Test_Loss: 139.4294891357422
Epoch: 144	Train_Loss: 139.30250549316406	 Test_Loss: 137.50799560546875
Epoch: 145	Train_Loss: 139.92588806152344	 Test_Loss: 137.081787109375
Epoch: 146	Train_Loss: 139.4537353515625	 Test_Loss: 139.18763732910156
Epoch: 147	Train_Loss: 139.0964813232422	 Test_Loss: 137.0850830078125
Epoch: 148	Train_Loss: 139.08636474609375	 Test_Loss: 141.33847045898438
Epoch: 149	Train_Loss: 139.26576232910156	 Test_Loss: 136.5256805419922
Epoch: 150	Train_Loss: 138.5625762939453	 Test_Loss: 136.30165100097656
Epoch: 151	Train_Loss: 138.89862060546875	 Test_Loss: 136.1869659423828
Epoch: 152	Train_Loss: 137.8148956298828	 Test_Loss: 136.2202911376953
Epoch: 153	Train_Loss: 138.1162872314453	 Test_Loss: 141.87066650390625
Epoch: 154	Train_Loss: 137.20448303222656	 Test_Loss: 135.6873779296875
Epoch: 155	Train_Loss: 136.83514404296875	 Test_Loss: 137.74008178710938
Epoch: 156	Train_Loss: 136.36883544921875	 Test_Loss: 133.1470947265625
Epoch: 157	Train_Loss: 137.42738342285156	 Test_Loss: 133.82568359375
Epoch: 158	Train_Loss: 136.7454833984375	 Test_Loss: 132.77792358398438
Epoch: 159	Train_Loss: 135.32127380371094	 Test_Loss: 132.40451049804688
Epoch: 160	Train_Loss: 136.25860595703125	 Test_Loss: 132.97427368164062
Epoch: 161	Train_Loss: 135.66705322265625	 Test_Loss: 135.47406005859375
Epoch: 162	Train_Loss: 135.35269165039062	 Test_Loss: 132.4059600830078
Epoch: 163	Train_Loss: 135.06570434570312	 Test_Loss: 132.9365997314453
Epoch: 164	Train_Loss: 134.40597534179688	 Test_Loss: 131.40594482421875
Epoch: 165	Train_Loss: 133.9109344482422	 Test_Loss: 130.77415466308594
Epoch: 166	Train_Loss: 133.5317840576172	 Test_Loss: 132.32534790039062
Epoch: 167	Train_Loss: 133.305419921875	 Test_Loss: 135.1696319580078
Epoch: 168	Train_Loss: 133.44717407226562	 Test_Loss: 132.8939971923828
Epoch: 169	Train_Loss: 133.09487915039062	 Test_Loss: 130.5662384033203
Epoch: 170	Train_Loss: 132.4724578857422	 Test_Loss: 129.79547119140625
Epoch: 171	Train_Loss: 132.4695281982422	 Test_Loss: 132.0746307373047
Epoch: 172	Train_Loss: 132.06146240234375	 Test_Loss: 130.48654174804688
Epoch: 173	Train_Loss: 131.3466033935547	 Test_Loss: 129.00161743164062
Epoch: 174	Train_Loss: 132.85781860351562	 Test_Loss: 131.4064178466797
Epoch: 175	Train_Loss: 131.55165100097656	 Test_Loss: 131.83029174804688
Epoch: 176	Train_Loss: 131.3746795654297	 Test_Loss: 127.98631286621094
